 1a 2b 3b 4b 5b 6a 7b 
 1b 2a 3a 4a 5a 6b 7a 
 1c 2a 3b 4b 5a 6a 7a 
 1d 2b 3a 4a 5b 6b 7a 
 1b 2b 3b 4a 5a 6b 7b 
 1a 2a 3a 4b 5b 6b 7b 
 1c 2b 3a 4a 5b 6a 7b 
 1d 2a 3b 4b 5a 6a 7b 
 1a 2b 3a 4a 5a 6a 7a 
 1b 2a 3b 4b 5b 6a 7a 
 1c 2b 3b 4b 5b 6b 7a 
 1d 2a 3a 4a 5b 6a 7b 
 1d 2b 3a 4b 5a 6b 7b 
 1a 2a 3b 4a 5a 6b 7a 
 1b 2a 3a 4b 5a 6a 7b 
 1c 2a 3a 4a 5a 6b 7b 
 1d 2a 3b 4b 5b 6b 7a 
 1b 2b 3a 4a 5b 6a 7b 
 1a 2a 3b 4a 5b 6a 7a 
 1c 2a 3b 4b 5b 6b 7b 
 1b 2b 3a 4b 5b 6b 7a 
 1d 2b 3b 4a 5a 6a 7a 
 1a 2b 3a 4a 5a 6b 7b 
 1c 2b 3a 4b 5a 6a 7a 
 1a 2b 3b 4b 5a 6b 7a 
 1c 2b 3b 4a 5a 6b 7a 
 1a 2b 3a 4b 5b 6a 7a 
 1a 2a 3a 4a 5a 6a 7b 
 1a 2a 3b 4b 5a 6a 7b 
 1b 2a 3b 4a 5b 6b 7b 
 1d 2a 3a 4b 5a 6a 7a 
 1c 2a 3a 4b 5b 6a 7a 
 1d 2b 3b 4a 5b 6a 7b 
 1b 2a 3a 4a 5b 6a 7a 
 1d 2b 3b 4b 5b 6b 7b 
 1c 2b 3b 4a 5a 6a 7b 
 1b 2b 3b 4b 5a 6a 7b 
 1d 2a 3b 4a 5a 6b 7b 
 1c 2b 3a 4b 5a 6b 7b 
 1a 2a 3a 4a 5b 6b 7a 
 1b 2b 3b 4a 5a 6a 7a 
 1b 2a 3b 4b 5a 6b 7b 
 1c 2a 3b 4a 5b 6a 7a 
 1b 2b 3a 4b 5b 6b 7b 
 1d 2b 3a 4b 5b 6a 7a 
 1c 2a 3a 4a 5b 6b 7a 
 1a 2b 3b 4a 5b 6b 7b 
 1b 2b 3a 4b 5a 6a 7a 
 1d 2a 3a 4a 5a 6b 7a 
 1a 2a 3a 4b 5a 6a 7a 
 1b 2b 3b 4b 5b 6b 7a 
 1c 2a 3a 4b 5a 6a 7b 
 1a 2a 3a 4b 5b 6a 7b 
 1a 2a 3a 4b 5a 6b 7a 
 1a 2a 3b 4a 5b 6a 7b 
 1a 2b 3a 4a 5b 6a 7b 
 1b 2b 3b 4a 5b 6b 7a 
 1b 2a 3b 4a 5a 6a 7b 
 1c 2b 3b 4a 5b 6a 7a 
 1d 2b 3b 4b 5a 6b 7a 
 1d 2a 3a 4b 5b 6b 7b 
 1d 2b 3a 4a 5a 6b 7b 
 1d 2a 3b 4b 5b 6a 7a 
 1d 2a 3b 4a 5b 6b 7a 
 1d 2b 3a 4b 5a 6a 7b 
 1c 2b 3b 4a 5b 6b 7b 
 1c 2b 3a 4b 5b 6b 7b 
 1d 2a 3a 4b 5a 6b 7b 
 1d 2a 3b 4a 5a 6a 7a 
 1c 2a 3a 4b 5a 6b 7a 
